ALGERIA,Developing
EGYPT,Developing
LIBYA,Developing
MOROCCO,Developing
SUDAN,Developing
TUNISIA,Developing
WESTERN SAHARA,Developing
BRITISH INDIAN OCEAN TERRITORY,Developing
BURUNDI,Developing
COMOROS,Developing
DJIBOUTI,Developing
ERITREA,Developing
ETHIOPIA,Developing
FRENCH SOUTHERN TERRITORIES,Developing
KENYA,Developing
MADAGASCAR,Developing
MALAWI,Developing
MAURITIUS,Developing
MAYOTTE,Developing
MOZAMBIQUE,Developing
REUNION,Developing
RWANDA,Developing
SEYCHELLES,Developing
SOMALIA,Developing
SOUTH SUDAN,Developing
UGANDA,Developing
TANZANIA,Developing
ZAMBIA,Developing
ZIMBABWE,Developing
ANGOLA,Developing
CAMEROON,Developing
CENTRAL AFRICAN REPUBLIC,Developing
CHAD,Developing
CONGO,Developing
D. R. CONGO,Developing
EQUATORIAL GUINEA,Developing
GABON,Developing
SAO TOME AND PRINCIPE,Developing
BOTSWANA,Developing
LESOTHO,Developing
NAMIBIA,Developing
SOUTH AFRICA,Developing
SWAZILAND,Developing
BENIN,Developing
BURKINA FASO,Developing
CABO VERDE,Developing
COTE D'IVOIRE,Developing
GAMBIA,Developing
GHANA,Developing
GUINEA,Developing
GUINEA-BISSAU,Developing
LIBERIA,Developing
MALI,Developing
MAURITANIA,Developing
NIGER,Developing
NIGERIA,Developing
SAINT HELENA,Developing
SENEGAL,Developing
SIERRA LEONE,Developing
TOGO,Developing
ANGUILLA,Developing
ANTIGUA AND BARBUDA,Developing
ARUBA,Developing
BAHAMAS,Developing
BARBADOS,Developing
BONAIRE,Developing
BRITISH VIRGIN ISLANDS,Developing
CAYMAN ISLANDS,Developing
CUBA,Developing
CURACAO,Developing
DOMINICA,Developing
DOMINICAN REPUBLIC,Developing
GRENADA,Developing
GUADELOUPE,Developing
HAITI,Developing
JAMAICA,Developing
MARTINIQUE,Developing
MONTSERRAT,Developing
PUERTO RICO,Developing
SAINT BARTHOLEMY,Developing
SAINT KITTS AND NEVIS,Developing
SAINT LUCIA,Developing
SAINT MARTIN (FRENCH PART),Developing
SAINT VINCENT AND THE GRENADINES,Developing
SINT MAARTEN (DUTCH PART),Developing
TRINIDAD AND TOBAGO,Developing
TURKS AND CAICOS ISLANDS,Developing
UNITED STATES VIRGIN ISLANDS,Developing
BELIZE,Developing
COSTA RICA,Developing
EL SALVADOR,Developing
GUATEMALA,Developing
HONDURAS,Developing
MEXICO,Developing
NICARAGUA,Developing
PANAMA,Developing
ARGENTINA,Developing
BOLIVIA,Developing
BOUVET ISLAND,Developing
BRAZIL,Developing
CHILE,Developing
COLOMBIA,Developing
ECUADOR,Developing
FALKLAND ISLANDS (MALVINAS),Developing
FRENCH GUIANA,Developing
GUYANA,Developing
PARAGUAY,Developing
PERU,Developing
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,Developing
SURINAME,Developing
URUGUAY,Developing
VENEZUELA,Developing
BERMUDA,Developed
CANADA,Developed
GREENLAND,Developed
SAINT PIERRE AND MIQUELON,Developed
UNITED STATES,Developed
ANTARCTICA,none
KAZAKHSTAN,Developing
KYRGYZSTAN,Developing
TAJIKISTAN,Developing
TURKMENISTAN,Developing
UZBEKISTAN,Developing
CHINA,Developing
HONG KONG,Developing
TAIWAN,Developing
NORTH KOREA,Developing
JAPAN,Developed
MONGOLIA,Developing
SOUTH KOREA,Developing
BRUNEI DARUSSALAM,Developing
CAMBODIA,Developing
INDONESIA,Developing
LAO PEOPLE'S DEMOCRATIC REPUBLIC,Developing
MALAYSIA,Developing
MYANMAR,Developing
PHILIPPINES,Developing
SINGAPORE,Developing
THAILAND,Developing
TIMOR-LESTE,Developing
VIETNAM,Developing
AFGHANISTAN,Developing
BANGLADESH,Developing
BHUTAN,Developing
INDIA,Developing
IRAN,Developing
MALDIVES,Developing
NEPAL,Developing
PAKISTAN,Developing
SRI LANKA,Developing
ARMENIA,Developing
AZERBAIJAN,Developing
BAHRAIN,Developing
CYPRUS,Developing
GEORGIA,Developing
IRAQ,Developing
ISRAEL,Developing
JORDAN,Developing
KUWAIT,Developing
LEBANON,Developing
OMAN,Developing
QATAR,Developing
SAUDI ARABIA,Developing
PALESTINE,Developing
SYRIAN ARAB REPUBLIC,Developing
TURKEY,Developing
UNITED ARAB EMIRATES,Developing
YEMEN,Developing
BELARUS,Developed
BULGARIA,Developed
CZECH REPUBLIC,Developed
HUNGARY,Developed
POLAND,Developed
MOLDOVA,Developed
ROMANIA,Developed
RUSSIAN FEDERATION,Developed
SLOVAKIA,Developed
UKRAINE,Developed
LAND ISLANDS,Developed
GUERNSEY,Developed
JERSEY,Developed
SARK,Developed
DENMARK,Developed
ESTONIA,Developed
FAROE ISLANDS,Developed
FINLAND,Developed
ICELAND,Developed
IRELAND,Developed
ISLE OF MAN,Developed
LATVIA,Developed
LITHUANIA,Developed
NORWAY,Developed
SVALBARD AND JAN MAYEN ISLANDS,Developed
SWEDEN,Developed
UNITED KINGDOM,Developed
ALBANIA,Developed
ANDORRA,Developed
BOSNIA AND HERZEGOVINA,Developed
CROATIA,Developed
GIBRALTAR,Developed
GREECE,Developed
HOLY SEE (VATICAN CITY STATE),Developed
ITALY,Developed
MALTA,Developed
MONTENEGRO,Developed
PORTUGAL,Developed
SAN MARINO,Developed
SERBIA,Developed
SLOVENIA,Developed
SPAIN,Developed
MACEDONIA,Developed
AUSTRIA,Developed
BELGIUM,Developed
FRANCE,Developed
GERMANY,Developed
LIECHTENSTEIN,Developed
LUXEMBOURG,Developed
MONACO,Developed
NETHERLANDS,Developed
SWITZERLAND,Developed
AUSTRALIA,Developed
CHRISTMAS ISLAND,Developed
COCOS (KEELING) ISLANDS,Developed
HEARD ISLAND AND MCDONALD ISLANDS,Developed
NEW ZEALAND,Developed
NORFOLK ISLAND,Developed
FIJI,Developing
NEW CALEDONIA,Developing
PAPUA NEW GUINEA,Developing
SOLOMON ISLANDS,Developing
VANUATU,Developing
GUAM,Developing
KIRIBATI,Developing
MARSHALL ISLANDS,Developing
MICRONESIA,Developing
NAURU,Developing
NORTHERN MARIANA ISLANDS,Developing
PALAU,Developing
UNITED STATES MINOR OUTLYING ISLANDS,Developing
AMERICAN SAMOA,Developing
COOK ISLANDS,Developing
FRENCH POLYNESIA,Developing
NIUE,Developing
PITCAIRN,Developing
SAMOA,Developing
TOKELAU,Developing
TONGA,Developing
TUVALU,Developing
WALLIS AND FUTUNA ISLANDS,Developing
